_id,language
14446,scala
3757,scala
11260,go
4782,ruby
7678,csharp
1892,kotlin
1795,kotlin
12884,python
3154,scala
2236,r
292,swift
2477,r
1640,kotlin
5611,csharp
743,swift
14587,scala
873,swift
10167,cpp
10389,go
9670,python
7565,csharp
12796,python
13845,kotlin
11967,c
5679,python
2533,r
4297,go
167,swift
11217,go
41,swift
8800,python
3035,sql
2399,r
13632,kotlin
5173,cpp
1980,kotlin
9821,java
10116,python
3016,perl
5550,go
6606,java
6364,go
11365,go
14143,kotlin
6528,javascript
2068,kotlin
11137,go
11573,go
7343,java
2412,r
8852,python
10697,python
3537,scala
11313,go
949,objective-c
14041,kotlin
3318,java
13413,kotlin
7659,csharp
8245,java
13909,kotlin
11399,go
63,swift
5990,cpp
2346,r
1867,kotlin
7666,csharp
10974,ruby
3378,scala
10234,go
3207,scala
12266,go
11901,java
6179,javascript
683,swift
7518,csharp
12015,cpp
8831,python
10689,python
2002,kotlin
8764,java
13836,kotlin
10557,cpp
5392,go
1526,kotlin
4045,go
8933,go
4048,go
3608,scala
13679,kotlin
10687,python
10861,go
12804,python
6226,php
5329,go
5179,cpp
6869,python
13273,python
5773,cpp
4921,go
7536,csharp
11463,php
5397,go
13985,java
11976,javascript
8896,go
8069,csharp
1679,kotlin
9277,go
8563,java
3519,scala
13797,kotlin
276,swift
1829,kotlin
11173,go
10233,go
7326,java
2339,r
14055,kotlin
6297,c
5081,c
4951,go
2704,r
13615,kotlin
14320,scala
10131,java
9894,javascript
10999,ruby
5556,go
2470,r
6515,cpp
10084,python
9307,python
4960,go
6247,go
5424,go
2185,sql
678,swift
13605,kotlin
8726,python
748,swift
4011,c
14396,scala
8361,java
14661,scala
13645,kotlin
8030,c
9600,python
11001,ruby
7897,go
2965,perl
4797,ruby
798,objective-c
5912,go
5866,go
8953,go
9628,python
661,swift
9045,javascript
4096,php
7387,csharp
10224,java
548,swift
3666,scala
7178,ruby
6370,go
14764,scala
1360,kotlin
11043,python
2748,r
7390,csharp
8163,java
12992,java
14544,scala
1553,kotlin
993,kotlin
2437,r
14124,kotlin
7100,ruby
14599,scala
9542,go
13051,python
14236,scala
3251,scala
5577,go
1367,kotlin
9667,python
12264,go
1722,kotlin
11787,cpp
4558,cpp
12243,csharp
5454,go
12074,go
2039,kotlin
4456,java
9830,java
14146,kotlin
4733,java
9739,python
5583,go
1662,kotlin
11562,cpp
13339,python
516,swift
3429,scala
13009,javascript
962,swift
3565,scala
3590,scala
3886,python
1357,kotlin
6942,javascript
14627,scala
10262,ruby
12451,scala
7654,csharp
2864,r
7281,python
9004,go
10916,go
14445,scala
6774,go
10564,cpp
14644,scala
8223,java
5704,python
2711,r
7895,go
14783,java
2523,r
8195,java
2121,kotlin
9988,javascript
282,swift
6997,go
4240,python
1895,kotlin
2168,kotlin
13049,cpp
9695,python
10159,cpp
4017,csharp
2379,r
10253,ruby
5284,go
12500,java
8871,python
5609,csharp
161,swift
9117,python
7248,python
92,swift
8385,java
5607,csharp
8060,csharp
12540,go
4747,go
7680,csharp
770,swift
3371,scala
10742,python
3938,python
8087,csharp
2400,r
5535,go
6094,python
2679,r
1735,kotlin
4197,python
2188,sql
4242,python
6163,php
4275,python
575,swift
10294,go
1209,kotlin
2720,r
14883,scala
1626,kotlin
7591,csharp
5827,csharp
8524,scala
2465,r
5940,python
11299,go
14172,kotlin
3192,scala
13861,kotlin
11297,go
9993,javascript
8321,scala
8929,go
7102,python
4598,cpp
9419,python
4340,go
12805,python
4453,java
11000,ruby
8120,csharp
3489,scala
3801,scala
11947,go
11444,java
9119,python
2419,r
14653,scala
5905,go
4593,cpp
5682,python
11713,javascript
3384,scala
7500,csharp
4595,cpp
12913,python
14282,scala
4810,ruby
7351,csharp
14460,scala
9836,java
11832,php
6238,cpp
4236,python
3460,scala
9605,python
9070,php
10903,go
13942,kotlin
14080,kotlin
2861,r
14576,scala
1865,kotlin
8033,c
1255,kotlin
1882,kotlin
11776,cpp
1491,kotlin
11613,python
10373,cpp
13445,kotlin
12308,java
7367,csharp
4413,python
9180,go
6253,go
2104,kotlin
7319,java
42,swift
8478,java
307,swift
6407,ruby
11223,go
1528,kotlin
4845,c
12203,csharp
14676,scala
5587,go
9474,cpp
1005,kotlin
5766,cpp
9015,go
2821,r
6561,php
9607,python
14054,kotlin
8872,java
5330,go
10463,go
12902,python
9608,python
4166,go
1924,kotlin
3785,scala
1180,kotlin
14662,scala
3769,scala
8709,python
12058,cpp
1403,kotlin
9202,go
102,swift
13611,kotlin
11054,python
14285,scala
4723,java
1931,kotlin
191,swift
13294,python
4196,python
7030,go
13094,cpp
11349,go
10744,python
8635,go
1035,kotlin
9566,javascript
12421,java
5342,go
13299,python
7270,python
10810,go
4336,go
7206,go
3842,scala
13150,go
8447,scala
11795,java
12522,java
13720,kotlin
10754,python
2255,r
5093,c
9319,c
1990,c
2352,r
4300,go
4846,javascript
9467,cpp
12433,java
6340,python
8072,csharp
9444,python
6522,cpp
6540,cpp
3461,scala
9028,javascript
10060,go
930,objective-c
8642,go
6980,python
8091,csharp
10567,csharp
5856,go
5270,go
436,swift
12256,go
10215,javascript
679,swift
7475,csharp
1558,swift
3560,scala
14349,scala
3905,python
2910,perl
10099,go
7365,csharp
14382,scala
6541,ruby
1386,kotlin
6242,python
8268,scala
12633,go
561,swift
1933,kotlin
10758,python
3133,scala
10128,python
4033,ruby
11228,go
6068,python
11182,go
12009,cpp
11881,go
5308,go
9337,c
7018,go
2195,sql
7841,go
12830,cpp
13476,kotlin
759,swift
14066,kotlin
1313,kotlin
10938,python
2754,r
6482,ruby
8833,python
654,swift
3420,scala
9452,cpp
1782,kotlin
7832,go
11486,go
4478,java
13428,kotlin
11844,java
6977,python
7761,go
14252,scala
5147,python
11271,go
2287,r
9764,python
9871,java
783,swift
3761,scala
9687,python
4916,go
8974,go
2024,kotlin
14239,scala
14119,kotlin
10773,python
3663,java
14781,java
2251,r
13935,kotlin
14922,scala
12947,python
1316,kotlin
1411,kotlin
8835,python
14709,scala
2577,r
2509,r
4685,php
5899,go
3447,scala
8482,java
3612,scala
656,swift
4623,cpp
4552,cpp
2007,kotlin
8391,java
12394,java
9599,python
5639,python
14021,kotlin
11318,go
1984,kotlin
11140,go
10786,go
4104,php
11464,php
5461,go
9673,python
11514,python
451,swift
6581,java
6057,python
6233,cpp
790,objective-c
4811,ruby
703,swift
11180,go
9834,java
11586,python
3404,scala
4540,java
2933,perl
4390,java
10775,go
1144,kotlin
13864,kotlin
1605,kotlin
3169,scala
569,swift
14093,kotlin
5758,cpp
3291,scala
10887,go
9622,python
9783,python
14134,kotlin
7032,go
458,swift
4039,ruby
14455,scala
14881,scala
9487,python
9247,go
1247,kotlin
8021,c
7817,go
14592,scala
7961,go
1111,kotlin
1919,kotlin
5436,go
12620,javascript
5148,cpp
13892,kotlin
13998,kotlin
10678,python
11949,go
13089,cpp
1442,kotlin
7022,go
11368,go
8018,c
11843,java
12566,go
6951,cpp
1543,kotlin
11477,javascript
8355,java
7117,javascript
4117,php
13275,c
10527,python
2769,r
3281,scala
11390,go
2338,r
4610,cpp
22,swift
13558,kotlin
2931,go
4481,java
339,swift
1926,kotlin
10597,go
9130,python
5684,python
8354,scala
2370,r
3720,scala
13326,python
9161,python
5851,csharp
11822,php
1271,kotlin
7192,ruby
11887,javascript
13601,kotlin
2608,r
2210,cpp
13317,python
4642,cpp
5225,go
4527,java
5151,java
11131,go
14864,scala
6650,php
14332,scala
14611,scala
8269,scala
1438,kotlin
4816,ruby
2515,r
7778,go
6128,r
919,swift
12206,csharp
9425,cpp
1951,kotlin
11744,ruby
10381,cpp
13392,python
4416,python
14290,scala
4764,go
14647,scala
3467,scala
8722,python
2990,javascript
10357,cpp
9872,java
3329,scala
10587,java
7865,go
6356,php
2302,r
1133,kotlin
1203,kotlin
9517,sql
1748,kotlin
13804,kotlin
11798,java
10437,go
10082,python
12142,csharp
3876,scala
9380,c
2005,kotlin
12993,java
500,swift
8167,java
7555,csharp
8810,python
1243,kotlin
1074,kotlin
8238,java
5593,csharp
8711,python
7322,java
14755,scala
7863,go
2532,r
3273,scala
637,swift
12817,ruby
13915,kotlin
11550,go
2066,kotlin
10209,javascript
1150,kotlin
5948,cpp
3455,scala
279,swift
10446,go
2894,r
3811,scala
2916,perl
4934,go
8644,go
11769,ruby
8712,python
11416,go
13736,kotlin
4970,go
10666,python
2029,kotlin
12853,cpp
1639,kotlin
10376,cpp
5525,go
9355,c
10014,ruby
5247,python
6377,go
13825,kotlin
7316,java
11495,python
6273,c
